dV/V0,delta1 (%),delta2 (%),delta3(%),theta1 (deg),theta2 (deg),theta3(deg)
0,0,0,0,0,0,0
0.001758242,0.065644444,2.34E-03,0.011722222,0.005902497,0,0
0.003516484,0.007033333,0.004688889,0.025788889,0.005902497,0,0
0.005274725,0.004688889,2.34E-03,0.030477778,0.011742959,0,0
0.007032967,0.056266667,4.69E-03,0.030477778,0.011742959,0,0
0.008791209,0.002344444,0.004688889,0.032822222,0.011742959,0,0
0.010549451,0.009377778,0.016411111,0.032822222,0.011742959,0,0
0.012307692,0.056266667,0.0422,0.035166667,0.005779681,0,0
0.014065934,0.004688889,0.037511111,0.035166667,0.005779681,0,0
0.015824176,0.044544444,0.075022222,0.039855556,6.08E-05,0,0
0.017582418,0.009377778,0.030477778,0.039855556,0.000121601,0.022487194,0.003158163
0.019340659,0.030477778,0.037511111,0.044544444,0.000243152,0.022487194,0.003158163
0.021098901,0.035166667,0.039855556,0.044544444,6.08E-05,0.025393619,0.003158163
0.022857143,0.0211,0.009377778,0.009377778,0.005782075,0.022487194,0.017896697
0.024615385,0.0211,0.035166667,0.0422,0.000121651,0.017060393,0.023164806
0.026373626,0.023444444,0.032822222,0.0422,0.011867017,0.017060393,0.017896697
0.028131868,0.0211,0.028133333,0.0422,0.006025364,0.017060393,0.023164806
0.02989011,0.0211,0.011722222,0.044544444,0.006025364,0.017060393,0.016852624
0.031648352,0.0211,0.0211,0.044544444,0.005721839,0.017060393,0.016852624
0.033406593,0.0211,0.002344444,0.051577778,0.011566546,0.017060393,0.011583895
0.035164835,0.0211,0.023444444,0.058611111,0.011566546,0.017060393,0.00526877
0.036923077,0.0211,0.0211,0.056266667,0.011566546,0.017060393,0.014740586
0.038681319,0.0211,0.007033333,0.056266667,0.011566546,0.017060393,0.011583895
0.04043956,0.0211,0.014066667,0.082055556,0.011566546,0.017060393,0.011583895
0.042197802,0.0211,0.014066667,0.091433333,0.000243352,0.017060393,0.011583895
0.043956044,0.0211,0.014066667,0.091433333,0.005721839,0.005427165,0.011583895
0.045714286,0.0211,0.014066667,0.091433333,0.005661591,0.005427165,0.008426623
0.047472527,0.018755556,0.014066667,0.035166667,0.005420473,0.005427165,0.008426623
0.049230769,0.018755556,0.014066667,0.077366667,0.005420473,0.019190853,0.013695663
0.050989011,0.018755556,0.030477778,0.077366667,0.005420473,0.019190853,0.010538121
0.052747253,0.018755556,0.0211,0.065644444,0.02314268,0.019190853,0.00526877
0.054505495,0.018755556,0.014066667,0.070333333,0.02314268,0.019190853,0.013695663
0.056263736,0.018755556,0.014066667,0.070333333,0.02314268,0.019190853,0.008426623
0.058021978,0.023444444,0.014066667,0.070333333,0.02314268,0.019190853,0.026349659
0.05978022,0.028133333,0.011722222,0.070333333,0.02314268,0.019190853,0.021078565
0.061538462,0.028133333,0.011722222,0.070333333,0.02314268,0.019190853,0.021078565
0.063296703,0.025788889,0.007033333,0.060955556,0.02314268,0.019190853,0.021078565
0.065054945,0.025788889,0.004688889,0.075022222,0.02314268,0.019190853,0.017921064
0.066813187,0.025788889,0.007033333,0.077366667,0.02314268,0.019190853,0.007379998
0.068571429,0.025788889,0.011722222,0.077366667,0.02314268,0.019190853,0.007379998
0.07032967,0.025788889,0.016411111,0.075022222,0.02314268,0.004641305,0.004221294
0.072087912,0.025788889,0.014066667,0.103155556,0.023201151,0.02461673,0.007379998
0.073846154,0.032822222,0.046888889,0.098466667,0.00620976,0.025014531,0.007379998
0.075604396,0.032822222,0.070333333,0.121911111,0.006148282,0.00991438,0.006315745
0.077362637,0.032822222,0.067988889,0.121911111,0.000486905,0.014950695,0.022121935
0.079120879,0.072677778,0.093777778,0.082055556,0.012301622,0.025014531,0.008426623
0.080879121,0.091433333,0.103155556,0.082055556,0.018271709,0.017467753,0.008426623
0.082637363,0.091433333,0.103155556,0.091433333,0.012301622,0.017467753,0.008426623
0.084395604,0.100811111,0.103155556,0.093777778,0.018271709,0.017467753,0.008426623
0.086153846,0.119566667,0.103155556,0.089088889,0.00651734,0.020940407,0.008426623
0.087912088,0.107844444,0.100811111,0.0844,0.017294346,0.056829318,0.008426623
0.08967033,0.154733333,0.100811111,0.086744444,0.01096947,0.063661892,0.008426623
0.091428571,0.150044444,0.1055,0.086744444,0.022733044,0.061508819,0.01578501
0.093186813,0.154733333,0.1266,0.086744444,0.024623501,0.061508819,0.031588404
0.094945055,0.192244444,0.121911111,0.0844,0.000486905,0.061508819,0.024207178
0.096703297,0.208655556,0.119566667,0.0844,0.012239497,0.065168972,0.024207178
0.098461538,0.208655556,0.164111111,0.0844,0.029339299,0.073507889,0.028433494
0.10021978,0.203966667,0.180522222,0.0844,0.011268162,0.025987024,0.11893557
0.101978022,0.215688889,0.173488889,0.0844,0.031112802,0.02889676,0.052667718
0.103736264,0.215688889,0.203966667,0.082055556,0.013297366,0.019778363,0.05271384
0.105494505,0.220377778,0.241477778,0.082055556,0.055583929,0.024488811,0.054833097
0.107252747,0.225066667,0.241477778,0.082055556,0.137854352,0.019002734,0.08211693
0.109010989,0.281333333,0.300088889,0.077366667,0.108546705,0.014411088,0.077999927
0.110769231,0.283677778,0.297744444,0.077366667,0.036771403,0.015120018,0.102178984
0.112527473,0.286022222,0.307122222,0.119566667,0.055383612,0.007556707,0.114769837
0.114285714,0.290711111,0.349322222,0.119566667,0.049526622,0.040147804,0.097930375
0.116043956,0.323533333,0.349322222,0.114877778,0.019844594,0.038999557,0.116809977
0.117802198,0.370422222,0.330566667,0.133633333,0.015516625,0.046584385,0.111540121
0.11956044,0.323533333,0.339944444,0.133633333,0.007998149,0.000225452,0.101078423
0.121318681,0.377455556,0.339944444,0.1477,0.038784808,0.046624858,0.099029822
0.123076923,0.377455556,0.3376,0.1477,0.097485099,0.041909477,0.084238248
0.124835165,0.377455556,0.344633333,0.1266,0.062699742,0.044818845,0.086293088
0.126593407,0.422,0.346977778,0.1266,0.033407231,0.036089084,0.127258772
0.128351648,0.424344444,0.351666667,0.1055,0.019907679,0.010650382,0.122080411
0.13010989,0.424344444,0.403244444,0.1055,0.003545046,0.021140887,0.121061788
0.131868132,0.480611111,0.372766667,0.110188889,0.020665712,0.004820777,0.12318863
0.133626374,0.482955556,0.407933333,0.138322222,0.056606433,0.014731383,0.130590097
0.135384615,0.482955556,0.445444444,0.140666667,0.032830842,0.008907311,0.186115504
0.137142857,0.482955556,0.457166667,0.140666667,0.009351193,0.013223607,0.15674646
0.138901099,0.4853,0.459511111,0.140666667,0.049857558,0.018226359,0.145194095
0.140659341,0.489988889,0.482955556,0.140666667,0.026405359,0.019002734,0.144078105
0.142417582,0.543911111,0.501711111,0.180522222,0.021500576,0.00818363,0.181975828
0.144175824,0.574388889,0.501711111,0.182866667,0.097485099,0.050635925,0.164033377
0.145934066,0.553288889,0.550944444,0.203966667,0.026405359,0.114097779,0.190252443
0.147692308,0.557977778,0.555633333,0.215688889,0.050786003,0.064038934,0.117916102
0.149450549,0.579077778,0.5697,0.234444444,0.014734526,0.04367336,0.151476166
0.151208791,0.583766667,0.588455556,0.262577778,0.062859794,0.054175849,0.169421312
0.152967033,0.595488889,0.600177778,0.278988889,0.109849299,0.062529677,0.163025595
0.154725275,0.607211111,0.616588889,0.307122222,0.008183767,0.059997345,0.199929443
0.156483516,0.668166667,0.614244444,0.307122222,0.020033887,0.065439779,0.163140588
0.158241758,0.668166667,0.628311111,0.339944444,0.003302179,0.059997345,0.189382599
0.16,0.672855556,0.642377778,0.335255556,0.002687953,0.065439779,0.238176343
0.161758242,0.729122222,0.672855556,0.330566667,0.020792234,0.065439779,0.251540169
0.163516484,0.7385,0.670511111,0.332911111,0.044456035,0.065439779,0.219884508
0.165274725,0.7385,0.670511111,0.393866667,0.003059111,0.065439779,0.181098259
0.167032967,0.7807,0.703333333,0.393866667,0.014742849,0.065439779,0.205203731
0.168791209,0.773666667,0.703333333,0.393866667,0.032599952,0.108632463,0.196792357
0.170549451,0.829933333,0.733811111,0.393866667,0.026725792,0.108999153,0.238842948
0.172307692,0.836966667,0.761944444,0.452477778,0.026725792,0.098105993,0.244118866
0.174065934,0.836966667,0.790077778,0.452477778,0.026725792,0.087215044,0.240985974
0.175824176,0.862755556,0.804144444,0.511088889,0.020793903,0.069002254,0.216749782
0.177582418,0.881511111,0.808833333,0.511088889,0.026725792,0.063930561,0.211475544
0.179340659,0.8862,0.815866667,0.511088889,0.026724635,0.074827431,0.216749782
0.181098901,0.9284,0.815866667,0.557977778,0.03841819,0.074827431,0.194790527
0.182857143,0.9284,0.876822222,0.567355556,0.080166132,0.071539211,0.184238235
0.184615385,0.9284,0.876822222,0.572044444,0.103740642,0.074076909,0.178962956
0.186373626,0.977633333,0.911988889,0.635344444,0.074020966,0.090434139,0.193788895
0.188131868,0.958877778,0.930744444,0.633,0.062098625,0.073701376,0.193788895
0.18989011,0.963566667,0.926055556,0.691611111,0.008448238,0.082068128,0.22018578
0.191648352,0.951844444,0.942466667,0.691611111,0.039175994,0.065711449,0.291432845
0.193406593,1.019833333,0.958877778,0.691611111,0.015361514,0.074076909,0.239330752
0.195164835,1.024522222,0.963566667,0.729122222,0.00942417,0.057724668,0.248744406
0.196923077,1.083133333,0.998733333,0.752566667,0.00942417,0.057724668,0.206486042
0.198681319,1.078444444,1.010455556,0.757255556,0.003609904,0.043910309,0.201206351
0.20043956,1.078444444,1.010455556,0.757255556,0.002389634,0.043910309,0.160112543
0.202197802,1.087822222,1.0128,0.813522222,0.002389634,0.05404927,0.163255725
0.203956044,1.1394,1.010455556,0.815866667,0.002389634,0.056965648,0.163255725
0.205714286,1.127677778,1.062033333,0.813522222,0.026024739,0.056965648,0.197064827
0.207472527,1.151122222,1.0972,0.846344444,0.03231107,0.029710057,0.184366586
0.209230769,1.209733333,1.083133333,0.869788889,0.020262745,0.037308727,0.188642314
0.210989011,1.209733333,1.083133333,0.8651,0.032079749,0.037308727,0.181224659
0.212747253,1.207388889,1.106577778,0.883855556,0.044012498,0.078030734,0.168532572
0.214505495,1.209733333,1.132366667,0.904955556,0.044012498,0.078030734,0.19492549
0.216263736,1.209733333,1.165188889,0.904955556,0.044012498,0.121707076,0.203346216
0.218021978,1.261311111,1.165188889,0.961222222,0.044012498,0.121707076,0.21719613
0.21978022,1.2027,1.172222222,0.935433333,0.044012498,0.121707076,0.21719613
0.221538462,1.263655556,1.2238,0.9495,0.044012498,0.097319899,0.220336698
0.223296703,1.263655556,1.2238,0.987011111,0.044069104,0.097319899,0.218193157
0.225054945,1.266,1.261311111,0.989355556,0.044012498,0.064578201,0.220336698
0.226813187,1.336333333,1.289444444,1.029211111,0.044012498,0.053668745,0.21191197
0.228571429,1.326955556,1.2871,1.026866667,0.044012498,0.083114671,0.21191197
0.23032967,1.326955556,1.291788889,1.062033333,0.044012498,0.123527919,0.245774007
0.232087912,1.352744444,1.291788889,1.083133333,0.015926917,0.142479985,0.1876384
0.233846154,1.364466667,1.315233333,1.083133333,0.013907219,0.134459622,0.225775547
0.235604396,1.411355556,1.317577778,1.083133333,0.045443325,0.123892094,0.22248087
0.237362637,1.411355556,1.319922222,1.111266667,0.004102785,0.118428378,0.22248087
0.239120879,1.411355556,1.343366667,1.111266667,0.019730595,0.088201583,0.220487806
0.240879121,1.465277778,1.343366667,1.113611111,0.001779693,0.091118136,0.205770398
0.242637363,1.523888889,1.397288889,1.176911111,0.013907219,0.096579073,0.217494628
0.244395604,1.523888889,1.399633333,1.165188889,0.013847438,0.093662892,0.212203832
0.246153846,1.521544444,1.394944444,1.176911111,0.120811219,0.025242693,0.216347193
0.247912088,1.5192,1.394944444,1.190977778,0.049669838,0.115513687,0.233370502
0.24967033,1.4981,1.453555556,1.228488889,0.019848937,0.115513687,0.238500992
0.251428571,1.523888889,1.460588889,1.230833333,0.019848937,0.14283969,0.238500992
0.253186813,1.528577778,1.481688889,1.212077778,0.019848937,0.14283969,0.242799338
0.254945055,1.526233333,1.535611111,1.242555556,0.025907727,0.119882502,0.236675491
0.256703297,1.528577778,1.535611111,1.270688889,0.031500608,0.071067567,0.24296471
0.258461538,1.544988889,1.554366667,1.289444444,0.019316013,0.095466491,0.237669795
0.26021978,1.575466667,1.6036,1.322266667,0.100128492,0.098384336,0.210058722
0.261978022,1.6036,1.580155556,1.322266667,0.034144121,0.098384336,0.206913616
0.263736264,1.631733333,1.594222222,1.352744444,0.040221537,0.11186435,0.206913616
0.265494505,1.659866667,1.6036,1.362122222,0.022632709,0.103480183,0.212203832
0.267252747,1.671588889,1.622355556,1.369155556,0.006997658,0.103480183,0.206913616
0.269010989,1.697377778,1.634077778,1.369155556,0.034598126,0.095095271,0.255536176
0.270769231,1.706755556,1.641111111,1.423077778,0.028711549,0.095095271,0.290449766
0.272527473,1.725511111,1.648144444,1.423077778,0.016934687,0.106029226,0.290449766
0.274285714,1.755988889,1.652833333,1.441833333,0.010919456,0.111497038,0.239152737
0.276043956,1.704411111,1.659866667,1.423077778,0.010919456,0.111497038,0.228077963
0.277802198,1.791155556,1.664555556,1.4559,0.010919456,0.111497038,0.246108448
0.27956044,1.786466667,1.6669,1.465277778,0.010919456,0.111497038,0.257688726
0.281318681,1.831011111,1.690344444,1.465277778,0.010857004,0.080493983,0.233370502
0.283076923,1.831011111,1.718477778,1.465277778,0.010857004,0.074649565,0.25239418
0.284835165,1.840388889,1.723166667,1.484033333,0.030513304,0.074649565,0.230226396
0.286593407,1.873211111,1.725511111,1.4981,0.036525579,0.074649565,0.236675491
0.288351648,1.8568,1.760677778,1.516855556,0.036525579,0.074649565,0.223936439
0.29010989,1.875555556,1.765366667,1.535611111,0.036468024,0.074649565,0.223936439
0.291868132,1.882588889,1.781777778,1.559055556,0.036410458,0.074649565,0.229230508
0.293626374,1.891966667,1.781777778,1.575466667,0.036410458,0.121339163,0.229230508
0.295384615,1.901344444,1.838044444,1.605944444,0.036410458,0.175745908,0.228234144
0.297142857,1.931822222,1.838044444,1.631733333,0.042365809,0.175745908,0.239984013
0.298901099,1.931822222,1.845077778,1.643455556,0.043332312,0.151270666,0.237832044
0.300659341,1.950577778,1.852111111,1.643455556,0.082623947,0.151270666,0.240978055
0.302417582,1.974022222,1.854455556,1.643455556,0.036813172,0.077572053,0.25239418
0.304175824,1.999811111,1.901344444,1.643455556,0.005722454,0.077572053,0.282805904
0.305934066,2.016222222,1.901344444,1.669244444,0.01848504,0.077572053,0.251062539
0.307692308,2.034977778,1.906033333,1.685655556,0.006391112,0.115866322,0.266305269
0.309450549,2.056077778,1.908377778,1.699722222,0.017890005,0.110394039,0.261007131
0.311208791,2.0678,1.938855556,1.699722222,0.047982955,0.13264914,0.264150181
0.312967033,2.091244444,1.931822222,1.699722222,0.041795682,0.13264914,0.257863499
0.314725275,2.091244444,1.922444444,1.746611111,0.024146708,0.124622598,0.257863499
0.316483516,2.147511111,1.981055556,1.737233333,0.035661003,0.124622598,0.264329085
0.318241758,2.1311,1.955266667,1.737233333,0.029697606,0.135204711,0.265317414
0.32,2.145166667,2.013877778,1.779433333,0.083948332,0.200931179,0.267473509
0.321758242,2.154544444,2.013877778,1.786466667,0.047926544,0.200931179,0.267473509
0.323516484,2.147511111,2.016222222,1.795844444,0.023557258,0.200931179,0.272774345
0.325274725,2.156888889,2.072488889,1.800533333,0.089540583,0.200931179,0.269630239
0.327032967,2.1733,2.077177778,1.802877778,0.060011457,0.200931179,0.26118408
0.328791209,2.159233333,2.074833333,1.816944444,0.059956308,0.200931179,0.249590797
0.330549451,2.201433333,2.154544444,1.875555556,0.006512522,0.195103239,0.249590797
0.332307692,2.208466667,2.138133333,1.868522222,0.031164646,0.194755402,0.280234292
0.334065934,2.241288889,2.138133333,1.896655556,0.023908475,0.172829416,0.281218968
0.335824176,2.267077778,2.138133333,1.927133333,0.023908475,0.090686486,0.315201975
0.337582418,2.253011111,2.201433333,1.927133333,0.065641989,0.16186977,0.330148611
0.339340659,2.250666667,2.199088889,1.929477778,0.03687809,0.164787013,0.297125757
0.341098901,2.313966667,2.201433333,1.929477778,0.125645321,0.219261777,0.305775557
0.342857143,2.309277778,2.201433333,1.950577778,0.029230425,0.222175439,0.305775557
0.344615385,2.316311111,2.227222222,1.950577778,0.089384237,0.23023445,0.276104246
0.346373626,2.377266667,2.227222222,1.990433333,0.125064901,0.205721743,0.285537192
0.348131868,2.377266667,2.210811111,2.0256,0.048357175,0.177958139,0.300267426
0.34989011,2.377266667,2.267077778,2.006844444,0.023716772,0.139234801,0.31303778
0.351648352,2.4054,2.267077778,2.006844444,0.005772313,0.139234801,0.331121936
0.353406593,2.438222222,2.250666667,2.020911111,0.018128167,0.139234801,0.313457549
0.355164835,2.438222222,2.267077778,2.032633333,0.018128167,0.160801658,0.382557208
0.356923077,2.449944444,2.264733333,2.044355556,0.018128167,0.160801658,0.32288966
0.358681319,2.440566667,2.2999,2.056077778,0.018128167,0.160801658,0.344136756
0.36043956,2.471044444,2.381955556,2.063111111,0.018128167,0.190793115,0.291036495
0.362197802,2.4687,2.325688889,2.095933333,0.018128167,0.190793115,0.274130836
0.363956044,2.459322222,2.3843,2.095933333,0.053495393,0.187874789,0.274130836
0.365714286,2.501522222,2.4476,2.100622222,0.053495393,0.187874789,0.283760197
0.367472527,2.494488889,2.398366667,2.126411111,0.053551265,0.187874789,0.294379307
0.369230769,2.4898,2.431188889,2.147511111,0.053551265,0.190793115,0.288085235
0.370989011,2.515588889,2.442911111,2.149855556,0.059514709,0.190793115,0.288085235
0.372747253,2.541377778,2.442911111,2.220188889,0.059514709,0.166285131,0.281598636
0.374505495,2.548411111,2.487455556,2.220188889,0.059514709,0.166285131,0.287891125
0.376263736,2.5742,2.480422222,2.217844444,0.059404194,0.154961049,0.334708486
0.378021978,2.602333333,2.492144444,2.248322222,0.059404194,0.154961049,0.334708486
0.37978022,2.623433333,2.501522222,2.281144444,0.065368891,0.187874789,0.352826114
0.381538462,2.639844444,2.499177778,2.290522222,0.065368891,0.187874789,0.352826114
0.383296703,2.675011111,2.499177778,2.283488889,0.065368891,0.187874789,0.302835579
0.385054945,2.707833333,2.536688889,2.281144444,0.065368891,0.187874789,0.30500075
0.386813187,2.705488889,2.5531,2.281144444,0.065368891,0.198155606,0.269995399
0.388571429,2.717211111,2.5531,2.274111111,0.065368891,0.184254264,0.329615212
0.39032967,2.731277778,2.555444444,2.262388889,0.058961675,0.150963555,0.325274969
0.392087912,2.705488889,2.5742,2.323344444,0.046909139,0.153886926,0.297525469
0.393846154,2.759411111,2.597644444,2.323344444,0.070792766,0.151322513,0.296742976
0.395604396,2.789888889,2.597644444,2.316311111,0.016815816,0.151322513,0.32744477
0.397362637,2.750033333,2.590611111,2.318655556,0.14328324,0.156809738,0.372143321
0.399120879,2.794577778,2.667977778,2.360855556,0.04110996,0.156809738,0.330369228
0.400879121,2.836777778,2.672666667,2.374922222,0.071009235,0.200033266,0.337626466
